"","x"
"1",0.00328407667699193
"2",0.00570699163794126
"3",0.00660080386183839
"4",0.00739221270954573
"5",0.00811129340863753
"6",0.0093975976937302
"7",0.00998448064689468
"8",0.0105423898564041
"9",0.0110757401390392
"10",0.0115879574855229
"11",0.0125593627325722
"12",0.0139116389268863
"13",0.0143398756236282
"14",0.0147585558884781
"15",0.0151685004280053
"16",0.0155704282527237
"17",0.0159649735359466
"18",0.0171096477707289
"19",0.0174797272888006
"20",0.0182049383041782
"21",0.0185607079931488
"22",0.0189123005415384
"23",0.0192599717524763
"24",0.0196039572131113
"25",0.0199444745141388
"26",0.0202817251677179
"27",0.0206158962723802
"28",0.0209471619645465
"29",0.0212756846891452
"30",0.0216016163161408
"31",0.0219250991252135
"32",0.0222462666771351
"33",0.0225652445873876
"34",0.0228821512151093
"35",0.023510191405663
"36",0.0238215306301607
"37",0.0244393221603607
"38",0.0250511771262317
"39",0.0253550804151913
"40",0.0256577346900615
"41",0.0259592111854407
"42",0.0262595781318704
"43",0.0265589009642673
"44",0.0268572425131441
"45",0.0271546631803443
"46",0.0274512211008174
"47",0.027746972291788
"48",0.0283362687817408
"49",0.0286299167156934
"50",0.0289229634176444
"51",0.0292154561896355
"52",0.0295074409051485
"53",0.029798962097303
"54",0.0306711714499179
"55",0.0309612598419873
"56",0.0315406998799029
"57",0.0318301267508012
"58",0.0326976690662554
"59",0.0329867200928506
"60",0.0332757627664722
"61",0.0335648300907687
"62",0.0338539545174826
"63",0.0341431679821056
"64",0.0344325019377847
"65",0.0347219873876088
"66",0.0350116549153898
"67",0.0353015347150501
"68",0.0355916566187131
"69",0.0358820501235916
"70",0.03617274441776
"71",0.0364637684048894
"72",0.03675515072802
"73",0.0370469197924404
"74",0.0373391037877386
"75",0.0376317307090839
"76",0.0382184244612573
"77",0.0385125464922095
"78",0.0388072218874934
"79",0.0391024779662638
"80",0.0393983419677272
"81",0.0399920023992003
"82",0.0402898530615782
"83",0.0405884201441011
"84",0.0408877307381418
"85",0.0411878119535293
"86",0.041488690933914
"87",0.0417903948719145
"88",0.0420929510240716
"89",0.0423963867256342
"90",0.042700729405203
"91",0.0430060065992527
"92",0.0433122459665574
"93",0.0436194753025401
"94",0.0439277225535671
"95",0.0442370158312094
"96",0.0445473834264896
"97",0.0467524582212184
"98",0.0470724650928261
"99",0.0497121907812514
"100",0.0514533291579801
"101",0.0532402932009289
"102",0.0554523362819194
"103",0.0565888333889145
"104",0.0581386743283163
"105",0.0593287486808478
"106",0.0605442170403089
"107",0.0617866757498234
"108",0.0639221030869718
"109",0.0652452027520554
"110",0.0680378197687241
"111",0.0715524512035806
"112",0.0753218132062278
"113",0.0764943832968149
"114",0.0855370805040802
"115",0.089193543089703
"116",0.0907322602876861
"117",0.0924385844367383
"118",0.0942001965580737
"119",0.0970278951215779
"120",0.102086554686103
"121",0.10318820991211
"122",0.105528229177155
"123",0.10673435968944
"124",0.110509473904381
"125",0.114544027069913
"126",0.115952617314437
"127",0.118874369855542
"128",0.120449946928331
"129",0.125637516131602
"130",0.135342947819831
"131",0.144756680844614
"132",0.144756680844614
"133",0.150294655850613
"134",0.153231032021592
"135",0.156290495140849
"136",0.16281907813492
"137",0.166311387138889
"138",0.169973540839913
"139",0.173821045642951
"140",0.177871462952634
"141",0.186663830288673
"142",0.196548376553756
"143",0.201979618997609
"144",0.207790083669486
"145",0.214028731292647
"146",0.22075387749013
"147",0.228035629415968
"148",0.235959146615196
"149",0.254175707533083
"150",0.264763660260332
"151",0.276604505033279
"152",0.305248618131797
"153",0.322936263034183
"154",0.368827685686032
"155",0.399804183992662
"156",0.439518735518034
"157",0.493129515311517
"158",0.571410581110208
"159",0.996582519850399
"160",Inf
